Well	Sample	Sample Type	Target	Target Type	Dye	Cq	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
B2	gDNA	unkn	Exon 1	toi	SYBRGreen I	-1.0	814.87	790.85	787.9	771.6	777.44	759.66	762.13	768.67	757.62	759.44	750.51	759.01	759.62	755.16	752.82	750.66	753.52	747.59	753.13	759.1	766.73	785.43	834	911.14	1025.75	1225.2	1456.37	1757.78	2024.23	2262.87	2453.35	2623.94	2759.74	2864.46	2935.74	3007.74	3070.74	3112.41
B3	gDNA	unkn	Exon 2	toi	SYBRGreen I	24.991	706.53	658.48	644.76	641.78	634.18	629.34	630.11	630.19	628.44	619.31	625.42	625.17	623.27	617.78	625.51	622.48	619.24	626.49	633.5	630.65	647.07	673.71	727.97	813.74	972	1196.09	1507.26	1824	2092.08	2312.49	2498.41	2612.53	2701.29	2759.97	2799.36	2828.62	2873.92	2866.68
B4	gDNA	unkn	Exon 2	toi	SYBRGreen I	25.201	782.62	734.51	715.72	708.53	700.08	703.06	702.26	694.45	698.19	695.88	685.22	694.93	685.18	688.76	677.33	675.43	684.04	688.65	681.66	701.73	698.95	735.59	783.75	875.95	1036.81	1286.5	1642.36	1990.63	2282.37	2543.29	2736	2877.23	2968.87	3032.95	3093.14	3137.58	3186.67	3188.98
B5	gDNA	unkn	Exon 3	toi	SYBRGreen I	25.588	717.29	686	669.93	658.34	658.98	661.8	657.93	650.7	652.85	654.59	654.45	650.61	641.77	644.94	648.19	645.42	644.57	650.2	646.25	650.34	658.23	686.43	717.3	792.36	922.18	1113.54	1370.14	1612.02	1842.23	2030.56	2186.35	2297.59	2371.25	2440.65	2493.28	2510.42	2542.16	2580.42
B6	gDNA	unkn	Exon 3	toi	SYBRGreen I	24.397	863.23	803.44	789.88	779.72	783.04	787.97	779.83	775.04	778.46	767.7	774.21	773.2	754.63	757.53	759.91	766.98	758.87	753.78	753.98	766.45	790.43	830.97	874.73	969.45	1154.09	1441.57	1800.86	2114.26	2436.75	2678.29	2882.22	3027	3164.36	3223.6	3304.88	3369.81	3415.39	3436.72
B7	gDNA	unkn	ZNF80	ref	SYBRGreen I	24.314	911.07	862.64	858.86	861.61	859.39	851.49	845.51	849.04	852.94	846.27	841.53	833.73	830.74	835.32	824.57	833.09	826.55	832.15	841.88	852.26	878.36	929.62	1011.82	1177.22	1424.16	1713.42	2041.61	2323.15	2566.97	2751.06	2917.79	3017.51	3083.72	3156.56	3195	3254.24	3287.32	3309.18
B8	gDNA	unkn	ZNF80	ref	SYBRGreen I	24.481	799.01	760.17	739.59	727.46	742.65	731.33	729.18	734.46	737.7	732.19	729.18	734.14	723.25	724.04	721.39	714.72	708.93	719.53	729.38	746.68	759.57	807.26	889.99	1027.02	1251.53	1523.74	1815.69	2055.06	2275.46	2449.16	2568.75	2678.74	2754.41	2815.66	2859.97	2877.66	2931.98	2942.12
B9	gDNA	unkn	GPR15	ref	SYBRGreen I	24.867	805.81	765.06	757.8	753.41	755.94	746.47	748.55	750.55	751.26	758.46	742.26	746.03	737.85	739.86	738.95	745.86	755.37	748.37	755.45	756.32	787.17	813.41	894.2	1025.5	1192.59	1363.17	1566.46	1729.32	1874.54	2005.05	2120.05	2202.93	2282.96	2346.5	2408.02	2449.08	2495.94	2537.36
B10	gDNA	unkn	GPR15	ref	SYBRGreen I	-1.0	868.24	830.33	826.22	808.41	809.92	808.89	812.77	793.76	798.11	797.05	799.97	797.01	800.39	795.95	796.2	803.44	783.68	795.73	817.2	807.59	836.28	874.42	972.89	1105.62	1300.31	1483.77	1679.18	1847.31	2011.93	2162.21	2279.37	2376.93	2458.94	2546.23	2610.2	2651.15	2694.58	2734.83
B11	NTC	ntc	Exon 2	toi	SYBRGreen I	-1.0	611.14	584.06	572.41	575.97	559.32	573.5	570.14	566.39	569.01	568.41	569.55	570.07	574.51	574.38	562	572.3	574.59	569.66	571.63	570.48	572.4	569.26	563.97	568.38	569.26	552.8	564.92	555.65	564.92	570.27	545.35	559.99	565.02	553.45	547.55	553.08	547.16	553.85
B12	NTC	ntc	Exon 2	toi	SYBRGreen I	-1.0	628.78	665.57	692.34	685.22	669.8	673.67	668.91	682.1	670.73	671.06	666.76	702.62	670.1	684.04	661.81	671.57	661.45	672.35	662.2	658.65	670.35	693.94	678.31	665.19	674.64	660.98	688.25	659.95	662.77	684.23	672.95	667.32	672.03	675.04	674.12	678.16	678.68	658.72
C1	1	unkn	Exon 1	toi	SYBRGreen I	-1.0	675.59	695.24	705.63	698.99	687.27	703.17	700.39	690.73	711.2	698.45	696.37	696	704.47	701.76	697.67	702.18	694.02	705.53	700.72	705.22	715.39	714.65	752.24	817.92	930.67	1087.2	1319.34	1635.09	1934.19	2223.61	2452.79	2640.86	2802.41	2992.3	3055.47	3120.64	3186.92	3251.37
C2	1	unkn	Exon 1	toi	SYBRGreen I	-1.0	753.35	718.3	707.2	715.42	700.54	709.61	724.36	716.09	710.52	719.44	714.19	714.62	714.18	725.9	715.51	712.26	721.92	724.86	723.12	732.53	732.06	761.48	787.22	850.5	955.15	1136.96	1393.05	1705.83	2017.64	2312.44	2575.21	2763.86	2909.52	3029.75	3154.21	3222.66	3285.03	3332.49
C3	1	unkn	Exon 2	toi	SYBRGreen I	26.032	596.04	565.29	563.01	563.01	569.19	569.28	568.47	571.63	569.96	569.54	573.24	582.47	578.45	573.16	566.97	573.54	573.13	576	580.26	591.57	592.77	612.16	648.66	717.46	846.19	1023.59	1327.24	1650.32	1982.28	2247.52	2473.06	2625.25	2744.81	2823.59	2894.5	2927.93	2958.47	2989.23
